# simulation: Earthquake Building Sim
# Exported: 2025-12-20T13:04:15.291047
#
Time(s),Max_Displacement
8.9803,3.264790e+240
8.9903,6.226335e+240
9.0003,1.187435e+241
9.0103,2.264576e+241
9.0203,4.318811e+241
9.0303,8.236476e+241
9.0403,1.570792e+242
9.0503,2.995683e+242
9.0603,5.713117e+242
9.0703,1.089558e+243
9.0803,2.077914e+243
9.0903,3.962825e+243
9.1003,7.557568e+243
9.1103,1.441316e+244
9.1203,2.748758e+244
9.1303,5.242203e+244
9.1403,9.997491e+244
9.1503,1.906638e+245
9.1603,3.636181e+245
9.1703,6.934621e+245
9.1803,1.322513e+246
9.1903,2.522187e+246
9.2003,4.810104e+246
9.2103,9.173429e+246
9.2203,1.749480e+247
9.2303,3.336462e+247
9.2403,6.363022e+247
9.2503,1.213502e+248
9.2603,2.314291e+248
9.2703,4.413622e+248
9.2803,8.417291e+248
9.2903,1.605276e+249
9.3003,3.061448e+249
9.3103,5.838538e+249
9.3203,1.113477e+250
9.3303,2.123531e+250
9.3403,4.049821e+250
9.3503,7.723480e+250
9.3603,1.472958e+251
9.3703,2.809102e+251
9.3803,5.357285e+251
9.3903,1.021697e+252
9.4003,1.948495e+252
9.4103,3.716006e+252
9.4203,7.086858e+252
9.4303,1.351546e+253
9.4403,2.577556e+253
9.4503,4.915701e+253
9.4603,9.374814e+253
9.4703,1.787886e+254
9.4803,3.409708e+254
9.4903,6.502710e+254
9.5003,1.240143e+255
9.5103,2.365096e+255
9.5203,4.510514e+255
9.5303,8.602077e+255
9.5403,1.640516e+256
9.5503,3.128656e+256
9.5603,5.966711e+256
9.5703,1.137921e+257
9.5803,2.170149e+257
9.5903,4.138727e+257
9.6003,7.893034e+257
9.6103,1.505294e+258
9.6203,2.870770e+258
9.6303,5.474894e+258
9.6403,1.044126e+259
9.6503,1.991270e+259
9.6603,3.797584e+259
9.6703,7.242436e+259
9.6803,1.381217e+260
9.6903,2.634142e+260
9.7003,5.023615e+260
9.7103,9.580620e+260
9.7203,1.827136e+261
9.7303,3.484561e+261
9.7403,6.645464e+261
9.7503,1.267367e+262
9.7603,2.417018e+262
9.7703,4.609534e+262
9.7803,8.790919e+262
9.7903,1.676531e+263
9.8003,3.197339e+263
9.8103,6.097699e+263
9.8203,1.162902e+264
9.8303,2.217790e+264
9.8403,4.229584e+264
9.8503,8.066311e+264
9.8603,1.538339e+265
9.8703,2.933793e+265
9.8803,5.595085e+265
9.8903,1.067048e+266
9.9003,2.034985e+266
9.9103,3.880953e+266
9.9203,7.401430e+266
9.9303,1.411539e+267
9.9403,2.691969e+267
9.9503,5.133899e+267
9.9603,9.790944e+267
9.9703,1.867247e+268
9.9803,3.561058e+268
9.9903,6.791353e+268
10.0003,1.295190e+269
10.0103,2.470078e+269
10.0203,4.710728e+269
10.0303,8.983907e+269
10.0403,1.713336e+270
10.0503,3.267531e+270
10.0603,6.231562e+270
10.0703,1.188432e+271
10.0803,2.266478e+271
10.0903,4.322437e+271
10.1003,8.243391e+271
10.1103,1.572111e+272
10.1203,2.998198e+272
10.1303,5.717914e+272
10.1403,1.090473e+273
10.1503,2.079659e+273
10.1603,3.966152e+273
10.1703,7.563914e+273
10.1803,1.442526e+274
10.1903,2.751066e+274
10.2003,5.246604e+274
10.2103,1.000589e+275
10.2203,1.908239e+275
10.2303,3.639234e+275
10.2403,6.940444e+275
10.2503,1.323623e+276
10.2603,2.524304e+276
10.2703,4.814143e+276
10.2803,9.181131e+276
10.2903,1.750949e+277
10.3003,3.339263e+277
10.3103,6.368364e+277
10.3203,1.214521e+278
10.3303,2.316234e+278
10.3403,4.417328e+278
10.3503,8.424359e+278
10.3603,1.606623e+279
10.3703,3.064018e+279
10.3803,5.843440e+279
10.3903,1.114412e+280
10.4003,2.125314e+280
10.4103,4.053221e+280
10.4203,7.729965e+280
10.4303,1.474194e+281
10.4403,2.811461e+281
10.4503,5.361783e+281
10.4603,1.022555e+282
10.4703,1.950131e+282
10.4803,3.719126e+282
10.4903,7.092808e+282
10.5004,1.352681e+283
10.5104,2.579721e+283
